Landkreis;Personen;Altersgruppe;Geschlecht;Nationalität
SK Berlin Reinickendorf;5880;A30-A34;W;D
SK Berlin Reinickendorf;5637;A35-A39;W;D
SK Berlin Reinickendorf;5416;A40-A44;W;D
SK Berlin Reinickendorf;21372;A45-A59;W;D
SK Berlin Reinickendorf;8031;A60-A64;W;D
SK Berlin Reinickendorf;32703;A65+;W;D
Berlin;88004;A00-A05;W;D
Berlin;123347;A06-A14;W;D
Berlin;37289;A15-A17;W;D
Berlin;24854;A18-A19;W;D
Berlin;73233;A20-A24;W;D
Berlin;85781;A25-A29;W;D
Berlin;108778;A30-A34;W;D
Berlin;107282;A35-A39;W;D
Berlin;96820;A40-A44;W;D
Berlin;291094;A45-A59;W;D
Berlin;100786;A60-A64;W;D
Berlin;378219;A65+;W;D
SK Berlin Mitte;2886;A00-A05;M;A
SK Berlin Mitte;3890;A06-A14;M;A
SK Berlin Mitte;1052;A15-A17;M;A
SK Berlin Mitte;944;A18-A19;M;A
SK Berlin Mitte;5513;A20-A24;M;A
SK Berlin Mitte;10717;A25-A29;M;A
SK Berlin Mitte;11917;A30-A34;M;A
SK Berlin Mitte;8945;A35-A39;M;A
SK Berlin Mitte;6618;A40-A44;M;A
SK Berlin Mitte;13941;A45-A59;M;A
SK Berlin Mitte;2588;A60-A64;M;A
SK Berlin Mitte;4680;A65+;M;A
SK Berlin Friedrichshain-Kreuzberg;1526;A00-A05;M;A
SK Berlin Friedrichshain-Kreuzberg;1562;A06-A14;M;A
SK Berlin Friedrichshain-Kreuzberg;449;A15-A17;M;A
SK Berlin Friedrichshain-Kreuzberg;386;A18-A19;M;A
SK Berlin Friedrichshain-Kreuzberg;2507;A20-A24;M;A
SK Berlin Friedrichshain-Kreuzberg;6303;A25-A29;M;A
SK Berlin Friedrichshain-Kreuzberg;8303;A30-A34;M;A
SK Berlin Friedrichshain-Kreuzberg;6417;A35-A39;M;A
SK Berlin Friedrichshain-Kreuzberg;4454;A40-A44;M;A
SK Berlin Friedrichshain-Kreuzberg;8078;A45-A59;M;A
SK Berlin Friedrichshain-Kreuzberg;1462;A60-A64;M;A
SK Berlin Friedrichshain-Kreuzberg;2865;A65+;M;A
SK Berlin Pankow;2153;A00-A05;M;A
SK Berlin Pankow;2498;A06-A14;M;A
SK Berlin Pankow;635;A15-A17;M;A
SK Berlin Pankow;465;A18-A19;M;A
SK Berlin Pankow;2108;A20-A24;M;A
SK Berlin Pankow;4819;A25-A29;M;A
SK Berlin Pankow;6458;A30-A34;M;A
SK Berlin Pankow;5407;A35-A39;M;A
SK Berlin Pankow;3621;A40-A44;M;A
SK Berlin Pankow;5591;A45-A59;M;A
SK Berlin Pankow;872;A60-A64;M;A
SK Berlin Pankow;1013;A65+;M;A
SK Berlin Charlottenburg-Wilmersdorf;1746;A00-A05;M;A
SK Berlin Charlottenburg-Wilmersdorf;2637;A06-A14;M;A
SK Berlin Charlottenburg-Wilmersdorf;778;A15-A17;M;A
SK Berlin Charlottenburg-Wilmersdorf;492;A18-A19;M;A
SK Berlin Charlottenburg-Wilmersdorf;2711;A20-A24;M;A
SK Berlin Charlottenburg-Wilmersdorf;5054;A25-A29;M;A
SK Berlin Charlottenburg-Wilmersdorf;5657;A30-A34;M;A
SK Berlin Charlottenburg-Wilmersdorf;4525;A35-A39;M;A
SK Berlin Charlottenburg-Wilmersdorf;3692;A40-A44;M;A
SK Berlin Charlottenburg-Wilmersdorf;8730;A45-A59;M;A
SK Berlin Charlottenburg-Wilmersdorf;2117;A60-A64;M;A
SK Berlin Charlottenburg-Wilmersdorf;4833;A65+;M;A
SK Berlin Spandau;2125;A00-A05;M;A
SK Berlin Spandau;3113;A06-A14;M;A
SK Berlin Spandau;913;A15-A17;M;A
SK Berlin Spandau;569;A18-A19;M;A
SK Berlin Spandau;1945;A20-A24;M;A
SK Berlin Spandau;3054;A25-A29;M;A
SK Berlin Spandau;3477;A30-A34;M;A
SK Berlin Spandau;3213;A35-A39;M;A
SK Berlin Spandau;2753;A40-A44;M;A
SK Berlin Spandau;5926;A45-A59;M;A
SK Berlin Spandau;1050;A60-A64;M;A
SK Berlin Spandau;2033;A65+;M;A
SK Berlin Steglitz-Zehlendorf;1086;A00-A05;M;A
SK Berlin Steglitz-Zehlendorf;1805;A06-A14;M;A
SK Berlin Steglitz-Zehlendorf;555;A15-A17;M;A
SK Berlin Steglitz-Zehlendorf;438;A18-A19;M;A
SK Berlin Steglitz-Zehlendorf;1906;A20-A24;M;A
SK Berlin Steglitz-Zehlendorf;2874;A25-A29;M;A
SK Berlin Steglitz-Zehlendorf;2945;A30-A34;M;A
SK Berlin Steglitz-Zehlendorf;2547;A35-A39;M;A
SK Berlin Steglitz-Zehlendorf;2214;A40-A44;M;A
SK Berlin Steglitz-Zehlendorf;5131;A45-A59;M;A
